# ingrediens;pris
tomat;5
gurka;5
oliv;6
fetaost;8
rödlök;4
oregano;3
romansallad;5
kyckling;12
parmesan;10
krutong;6
caesardressing;5
falafel;10
tomatsås;4
majs;5
bladspenat;6
halloumi;12
pesto;7
quinoa;9
avokado;10
spenat;6
citronvinägrett;4
glasnudel;8
edamame;7
morot;4
sesamdressing;6
kikärt;5
svartböna;6
balsamicodressing;5
rödbeta;5
getost;10
valnöt;8
ruccola;6
honungsdressing;5
chilidressing;5
lins;6
mozzarella;9
basilika;4
olivolja;4
svartpeppar;3
couscous;6
paprika;5
solrosfrö;4
tofu;9
bulgur;6
granatäpple;7
bladpersilja;5
